id;username;device_id;phone_model;os_version;installed_on
1;fooey;knottily yahoo;ha trail woefully;demanding knottily bone;2023-12-17T21:29:56
2;whoa;mmm;accidentally wearily;bracket cheerfully;2023-12-18T08:35:01
3;physically phooey;unusual worn;yum boo zowie;wide;2023-12-17T17:56:46
4;boatload;sellotape quaint;as;given;2023-12-18T11:14:04
5;till;and;duh;gratefully bah;2023-12-18T06:31:04
6;toward reflate;aha oof amidst;broadside;pension whether;2023-12-18T03:35:59
7;relieved unimpressively half;hence really;prevaricate yet;athletics;2023-12-17T21:56:30
8;plus within electric;circa rasterise;greedy dine;shyly and e-book;2023-12-18T10:57:01
9;without;worth bah burdensome;open moustache zowie;elope;2023-12-18T07:48:53
10;closely till lively;whenever abaft;hence;attached the sledge;2023-12-17T15:31:54
