id;contract;pricing;state;license;starts;ends;trial_starts;trial_ends;unit_price;notes;created;updated
1;incidentally loyally ouch;BRACKET;CLOSED;inasmuch zowie repentant;2023-12-18;2023-12-17;2023-12-18;2023-12-17;27856.92;pointed hearty;2023-12-17T14:33:09;2023-12-18T01:39:01
2;neatly;BRACKET;CLOSED;forenenst lest spring;2023-12-18;2023-12-18;2023-12-17;2023-12-17;11360.5;atop phooey decrease;2023-12-17T16:22:26;2023-12-17T15:06:26
3;times;FIXED;NEW;measly;2023-12-18;2023-12-18;2023-12-17;2023-12-18;2357.41;elegantly dismount before;2023-12-17T16:27:05;2023-12-18T03:27:05
4;because sharply;BRACKET;ACTIVE;hm inside;2023-12-17;2023-12-18;2023-12-17;2023-12-18;20097.05;powerfully huzzah with;2023-12-18T00:14:46;2023-12-18T07:53:41
5;thankfully now;BRACKET;CLOSED;like eek floor;2023-12-17;2023-12-18;2023-12-17;2023-12-17;17825.93;fiercely er dashboard;2023-12-17T16:05:53;2023-12-17T17:25:25
6;often ew beloved;BRACKET;ACTIVE;while;2023-12-17;2023-12-18;2023-12-17;2023-12-18;28899.38;astride worrisome for;2023-12-18T04:02:36;2023-12-18T02:00:55
7;multicolored remarry;BRACKET;TRIAL;trembling alongside expose;2023-12-17;2023-12-18;2023-12-17;2023-12-17;6856.88;down yuck till;2023-12-18T03:51:23;2023-12-17T13:40:55
8;yahoo psst;BRACKET;NEW;elastic authentic;2023-12-18;2023-12-18;2023-12-18;2023-12-17;21675.65;bridge;2023-12-18T01:30:58;2023-12-18T11:12:49
9;patiently supposing;FIXED;TRIAL;gee;2023-12-17;2023-12-17;2023-12-18;2023-12-18;19172.18;thorn unbuckle zowie;2023-12-18T10:34:43;2023-12-18T05:40:05
10;ick externalise instead;BRACKET;CLOSED;jaggedly toil;2023-12-18;2023-12-17;2023-12-18;2023-12-17;15108.5;sugary adolescent pfft;2023-12-18T05:29:05;2023-12-17T12:16:03
