id;code;title;duration;language;player;thumbnail;url;audience;intensity;tags;filename;description;created;released;archived
1;facsimile noteworthy;personify;2419;FR;YOUTUBE;polarisation;https://conscious-bangle.org/;elicit around;INTERMEDIATE;oily warped;ack;badly;2023-12-17T19:44:31;2023-12-18T02:57:11;2023-12-18T06:31:45
2;courteous meanwhile appetite;hidden conscript;20556;ES;YOUTUBE;absolve teammate before;https://upset-woodchuck.com;wherever majestically;BEGINNER;memorialise inter;well sustainment;quickly;2023-12-18T03:34:51;2023-12-17T19:44:29;2023-12-17T12:47:14
3;a;undo phew triumphantly;10952;FR;PEECKO;although;https://queasy-catalyst.net;sofa atop yahoo;INTERMEDIATE;finally degrade masonry;nor clear;around clearly;2023-12-17T15:31:39;2023-12-17T22:47:21;2023-12-18T01:23:27
4;operator;furthermore consequently safely;21127;EN;YOUTUBE;vengeful imbalance till;https://euphoric-plant.com;that;INTERMEDIATE;indeed;rarely candid palm;boo;2023-12-18T07:20:59;2023-12-18T05:33:55;2023-12-17T18:29:36
5;accountant;verdict;16593;EN;PEECKO;atop;https://meek-vine.biz;sometimes wig quickly;ADVANCED;intensely even;unto flume explicate;disconnect amongst;2023-12-18T06:07:44;2023-12-17T22:38:03;2023-12-17T21:03:01
6;wimp green;since separately;32286;DE;YOUTUBE;blast oh joint;https://soft-gas.org/;volleyball;INTERMEDIATE;spiffy;crewmember near lime;integrate likewise but;2023-12-17T16:27:43;2023-12-18T02:03:20;2023-12-17T22:17:12
7;at tough;pick supposing;28448;ES;PEECKO;next;https://liquid-home.biz/;nor where oh;INTERMEDIATE;curl;trance bland;scented frugal;2023-12-18T02:45:44;2023-12-17T17:26:04;2023-12-17T20:28:47
8;seller;walking;4305;ES;YOUTUBE;atop quicker;https://likely-schoolhouse.biz;famously;BEGINNER;whenever nor;soybean immense;gleefully cut;2023-12-17T22:05:50;2023-12-17T13:54:46;2023-12-18T08:36:01
9;actually;invoice after;3562;DE;PEECKO;instead provided clearly;https://dull-marines.name/;loosen carelessly while;BEGINNER;afore windy;long tenderly;copying;2023-12-17T13:00:19;2023-12-18T06:46:29;2023-12-18T02:03:24
10;yuck indeed apropos;nearly politician limping;6544;EN;YOUTUBE;geez;https://grubby-soybean.net;restriction loyally;ADVANCED;faraway plus;propagate diagnose tarnish;shipping disengagement curiously;2023-12-18T08:50:15;2023-12-18T02:00:50;2023-12-17T16:51:37
