id;code;title;label;created;released;archived
1;idolized reluctantly;mmm euphoric;bitterly;2023-12-18T07:43:07;2023-12-17T14:24:09;2023-12-18T06:40:56
2;after;choker oh;simple wetly amid;2023-12-18T00:14:42;2023-12-17T18:22:34;2023-12-18T10:42:40
3;after;curiously tipple;depreciate excluding poorly;2023-12-17T16:01:02;2023-12-18T06:06:59;2023-12-17T17:48:57
4;menacing which;french fresh;teammate hedge;2023-12-18T06:25:13;2023-12-17T17:15:27;2023-12-18T09:13:41
5;since;volatility;reformat;2023-12-17T21:09:18;2023-12-17T12:43:04;2023-12-17T14:38:02
6;puzzle however;where sheepishly yet;ouch;2023-12-18T00:02:33;2023-12-17T23:55:13;2023-12-17T12:34:17
7;urban;why accent;pastel lovingly;2023-12-17T23:27:04;2023-12-17T22:30:36;2023-12-17T16:08:00
8;surprisingly limit;beneath tensely ack;windage vaguely so;2023-12-18T03:48:07;2023-12-17T21:18:10;2023-12-17T12:37:11
9;across oh under;uh-huh beside next;appreciation tune canvas;2023-12-18T01:11:05;2023-12-17T17:16:24;2023-12-17T18:00:28
10;externalise shriek alternate;seemingly button;throughout defiant everlasting;2023-12-17T23:48:11;2023-12-17T22:32:40;2023-12-18T00:41:14
